author,timestamp,likes,content,video_id,public_status
"@filiaptasasikiranaashuri2329,2021-11-12T05:03:22Z,28,""Bagus sekali kak, mohon izin menggunakan videonya untuk keperluan tugas🙏🏻"",fiuhu924--M,True"
"@hiyarotulafifah2518,2024-06-04T11:18:13Z,3,""terimakasih IndonesiaBaikID karya yang sangat bermanfaat dan menarik, terus berkarya dan menebar kebermanfaatan ya."",fiuhu924--M,True"
"@henzgaming8982,2020-08-10T05:19:36Z,3,""Mohon izin untuk menayangkan sebagian cuplikan video untuk konten saya, nanti saya akan cantumkan sumber videonya 🙏"",fiuhu924--M,True"
"@muhammadaditia6543,2022-01-03T02:20:11Z,3,""Videonya sangat bermanfaat, apalagi di era teknologi yg sekarang memudahkan kita dalam melakukan berbagai hal"",fiuhu924--M,True"
"@ulyaa783,2023-11-24T01:04:12Z,2,""Video yang sangat bermanfaat,ijin menggunakan videonya ya min,terimakasih🙏🏻"",fiuhu924--M,True"
@asoyasoy5651,2021-08-18T02:36:50Z,2,Mohon izin untuk menyimpan vidionya buat tugas kak🙏,fiuhu924--M,True
@LioraAnggraeny,2024-09-04T05:58:01Z,2,terimakasih karena video anda sudah menjadi beban tugas untuk saya❤,fiuhu924--M,True
@RaniMokodongan,2024-09-04T05:59:52Z,1,terima kasih videonya sangat bermanfaat🙏🏻,fiuhu924--M,True
@analisismemberchannel2482,2022-04-16T04:50:05Z,1,Teknologi Informasi 📳 📲 🌏,fiuhu924--M,True
"@darwinkabut3501,2022-01-03T11:17:33Z,1,""Menurut pendapat saya mengenai teknologi di era digital sangat bermanfaat bagi orang"""" era yg sekarang karna dapat mengakses sesuatu dengan mudah dan cepat"",fiuhu924--M,True"
"@hilgustusgaa5585,2023-10-21T04:24:29Z,1,""Menurut pendapat saya teknologi digital mempunyai peranan yang sangat penting karena dengan adanya "
"Internet sebagai bentuk teknologi digital memberikan akses mudah ke berbagai sumber informasi. Termasuk berita, artikel, buku, video, dan banyak lagi. Ini memungkinkan banyak orang untuk terus belajar dan mengakses pengetahuan dari berbagai bidang"",fiuhu924--M,True"
@fadillahyudan2129,2023-11-20T22:20:15Z,1,Mohon izin untuk menjadikan video ini sebagai cuplikan tugas 🙏,fiuhu924--M,True
@kalzz-,2024-08-26T02:59:35Z,1,terimakasi vidio nyaa sangat bermanfaat sekali🙏🙏🙏🙏,fiuhu924--M,True
@muhammadardiansyahdwisaput2712,2024-08-24T10:37:40Z,1,Terimakasih saya telah tercerahkan oleh vidio ini,fiuhu924--M,True
@ekarianandikarailfan,2024-05-05T02:32:26Z,1,Videonya keren sekali.,fiuhu924--M,True
@dakwahmuslim46,2024-11-15T01:28:46Z,1,Rasidin,fiuhu924--M,True
@aidalaelani,2022-10-30T08:09:36Z,1,Mohon izin mengambil sebagian video ini untuk keperluan tugas kak🙏 akan saya sertakan sumber videonya di deskripsi,fiuhu924--M,True
@jokosusanto8332,2021-12-09T08:34:30Z,0,mohon izin make sebagian videonya untuk tugas🙏,fiuhu924--M,True
@ariedianto4091,2021-12-11T09:36:54Z,0,terima kasih videonya .. siip ..,fiuhu924--M,True
@nofrialdi8219,2021-12-06T09:55:36Z,0,terimakasih untuk pembelajarannya..sangat bermanfaat untuk saya..,fiuhu924--M,True
"@lailanuraini3927,2021-12-17T07:50:41Z,0,""Terima kasih atas videonya, sangat bermanfaat ,mohon ijin mengambil materi untuk keperluan tugas ya kak❤️"",fiuhu924--M,True"
@natasyawanda3056,2021-12-20T08:21:20Z,0,Mohon izin menggunakan video ini untuk tugas kak🙏🏻,fiuhu924--M,True
"@Nurhabibah-ix3gx,2021-12-28T15:00:15Z,0,""Izin save ya kak, untuk media pembelajaran😊"",fiuhu924--M,True"
"@yoanagung4717,2021-12-08T11:33:55Z,0,""terimakasih materi di video kali ini,sangat bermanfaat bagi untuk keperluasan tugas."",fiuhu924--M,True"
@557_zahrotulfadhilah7,2021-12-05T07:48:44Z,0,Kak izin save njih buat tugas seleksi 🙏,fiuhu924--M,True
"@azrilfauzi4411,2021-12-02T06:40:43Z,0,""Mohon izin kak, ngesave vidionya untuk tugas pembelajaran🙏🏻"",fiuhu924--M,True"
@MuhPadli-dh1br,2022-01-03T11:40:24Z,0,Vidionya sangat bagus kak. Minta izin menduplikat vidionya untuk keperluan tugas kak,fiuhu924--M,True
@AnggunMuthiah,2021-12-01T06:40:30Z,0,Wahhh baguss sekalii 💕💕 izin save untuk tugas ya Ka 🙏🏼,fiuhu924--M,True
@zahranur8388,2022-01-09T03:31:48Z,0,Kak. Ijin untuk memakai sebagian videonya ya 🙏🏻,fiuhu924--M,True
@rian8198,2021-12-06T14:49:46Z,0,Sangat keren. mohon izin save video buat keperluan tugas kak 🙏🙏,fiuhu924--M,True
@tasyasuci1101,2022-01-10T08:49:17Z,0,izin untuk menggunakan sebagian videonya,fiuhu924--M,True
@_YaumaQarnun,2022-01-14T17:17:41Z,0,Pliss tutorial buat video kaya gini gimanaaaaa😑,fiuhu924--M,True
@anisarahmawati4421,2025-01-16T05:14:26Z,0,izin menggunakan videonya utk tugas kuliah ya ka😊,fiuhu924--M,True
"@bukuaudiovandeiny4274,2022-01-17T14:52:30Z,0,""Izin, penggunaan videonya buat materi edukasi 🙏🙏"",fiuhu924--M,True"
"@saf9306,2022-08-19T11:43:54Z,0,""mohon izin untuk digunakan sebagai video tugas ya kak, terima kasih"",fiuhu924--M,True"
@nunukncl3570,2023-05-12T03:03:14Z,0,Artinya oa bang messu,fiuhu924--M,True
@anisamaharani9685,2023-05-03T07:53:36Z,0,Izin save ya kak buat tugas 🙏🏻🙏🏻❤️,fiuhu924--M,True
@rudiansyah-bpschannel6034,2023-02-16T15:03:47Z,0,https://youtu.be/fwMtTmuA4BQ,fiuhu924--M,True
@sitihadisya3426,2023-01-16T10:02:49Z,0,Mantab 👍,fiuhu924--M,True
@nuratima492,2022-09-29T02:01:03Z,0,Mohon izin share kaka,fiuhu924--M,True
"@ranaidaito8887,2022-09-25T04:19:38Z,0,""bagus kak"
"izin menggunakan foto dari videonya buat tugas 🙏"",fiuhu924--M,True"
@perdisambo8717,2022-09-24T09:35:10Z,0,emas digital gak sama dengan emas fiat titik emas digital bercode,fiuhu924--M,True
"@hikmadhani5028,2022-09-24T02:03:47Z,0,""Ijin Min, videonya mantap, ijin share untuk keperluan tugas🙏🏻"",fiuhu924--M,True"
@familaagil,2022-09-18T15:07:30Z,0,ngeditnya pake apa yakk aku disuruh bikin tugas kek gini,fiuhu924--M,True
@novaliaraodhatulp.b4382,2022-08-19T02:55:06Z,0,Mohon izin menggunakan video untuk tugas kak 🙏🏻 terima kasih,fiuhu924--M,True
"@ibtisyanasywa5876,2022-01-19T17:33:47Z,0,""Bagus kak, saya izin menggunakan videonya untuk tugas ya"",fiuhu924--M,True"
@christetitaedelweiss2948,2022-08-08T08:45:30Z,0,Mohon izin pakai video kak 🙏,fiuhu924--M,True
@christetitaedelweiss2948,2022-08-08T08:45:23Z,0,Mohon izin pakai video kak 🙏,fiuhu924--M,True
"@mauliddwiyansyah4595,2022-08-08T07:00:14Z,0,""bagus,,izin menggukan video untuk keperluan pembelajaran ya,,"",fiuhu924--M,True"
@annisaa1401,2022-05-13T03:48:05Z,0,Terimakasih atas videonya 👍🏻,fiuhu924--M,True
@noerhibbatulmaula1443,2022-05-11T09:24:14Z,0,Mohon ijin mengambil videonya kak🙏,fiuhu924--M,True
@lolayacinta4941,2022-04-17T14:54:45Z,0,Izin save ya kak buat tugas. Terima kasih,fiuhu924--M,True
@tasyajo8764,2021-11-25T12:15:12Z,0,Izin kak untuk lengkapi tugas,fiuhu924--M,True
